CMDLINE python main.py
MEM 97.437500 1776031893.2930
MEM 97.437500 1776031893.3980
MEM 97.437500 1776031893.5034
MEM 97.437500 1776031893.6052
MEM 97.437500 1776031893.7070
MEM 97.437500 1776031893.8093
MEM 97.437500 1776031893.9149
MEM 97.437500 1776031894.0203
MEM 97.437500 1776031894.1257
MEM 97.437500 1776031894.2304
MEM 97.437500 1776031894.3359
MEM 97.437500 1776031894.4385
MEM 97.437500 1776031894.5390
MEM 97.437500 1776031894.6445
MEM 97.437500 1776031894.7467
MEM 97.437500 1776031894.8519
MEM 97.437500 1776031894.9572
MEM 97.437500 1776031895.0626
MEM 97.437500 1776031895.1675
MEM 97.437500 1776031895.2723
MEM 97.437500 1776031895.3776
MEM 97.437500 1776031895.4821
MEM 97.437500 1776031895.5874
MEM 97.437500 1776031895.6897
MEM 97.437500 1776031895.7951
MEM 97.437500 1776031895.9003
MEM 97.437500 1776031896.0057
MEM 97.437500 1776031896.1104
MEM 97.484375 1776031896.2146
MEM 97.484375 1776031896.3191
MEM 97.484375 1776031896.4240
